id,public_metrics
872820683541237760,"{'retweet_count': 3191, 'reply_count': 122, 'like_count': 13182, 'quote_count': 141}"
872620804844003328,"{'retweet_count': 3097, 'reply_count': 62, 'like_count': 18540, 'quote_count': 76}"
872620804844003328,"{'retweet_count': 3097, 'reply_count': 62, 'like_count': 18540, 'quote_count': 76}"
872486979161796608,"{'retweet_count': 7787, 'reply_count': 191, 'like_count': 36455, 'quote_count': 371}"
872486979161796608,"{'retweet_count': 7787, 'reply_count': 191, 'like_count': 36455, 'quote_count': 371}"
872122724285648897,"{'retweet_count': 6914, 'reply_count': 111, 'like_count': 30527, 'quote_count': 262}"
872122724285648897,"{'retweet_count': 6914, 'reply_count': 111, 'like_count': 30527, 'quote_count': 262}"
871879754684805121,"{'retweet_count': 9314, 'reply_count': 106, 'like_count': 33441, 'quote_count': 326}"
871879754684805121,"{'retweet_count': 9314, 'reply_count': 106, 'like_count': 33441, 'quote_count': 326}"
871762521631449091,"{'retweet_count': 2999, 'reply_count': 57, 'like_count': 18074, 'quote_count': 56}"
871762521631449091,"{'retweet_count': 2999, 'reply_count': 57, 'like_count': 18074, 'quote_count': 56}"
871515927908634625,"{'retweet_count': 2975, 'reply_count': 134, 'like_count': 18074, 'quote_count': 153}"
871515927908634625,"{'retweet_count': 2975, 'reply_count': 134, 'like_count': 18074, 'quote_count': 153}"
871166179821445120,"{'retweet_count': 4934, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
871166179821445120,"{'retweet_count': 4934, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
871102520638267392,"{'retweet_count': 4733, 'reply_count': 75, 'like_count': 18732, 'quote_count': 127}"
871102520638267392,"{'retweet_count': 4733, 'reply_count': 75, 'like_count': 18732, 'quote_count': 127}"
871032628920680449,"{'retweet_count': 3263, 'reply_count': 51, 'like_count': 20355, 'quote_count': 52}"
871032628920680449,"{'retweet_count': 3263, 'reply_count': 51, 'like_count': 20355, 'quote_count': 52}"
870804317367881728,"{'retweet_count': 5318, 'reply_count': 138, 'like_count': 30098, 'quote_count': 129}"
870804317367881728,"{'retweet_count': 5318, 'reply_count': 138, 'like_count': 30098, 'quote_count': 129}"
870726314365509632,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 106, 'quote_count': 0}"
870726314365509632,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 106, 'quote_count': 0}"
870656317836468226,"{'retweet_count': 2228, 'reply_count': 77, 'like_count': 10995, 'quote_count': 99}"
870656317836468226,"{'retweet_count': 2228, 'reply_count': 77, 'like_count': 10995, 'quote_count': 99}"
870374049280663552,"{'retweet_count': 22973, 'reply_count': 761, 'like_count': 74693, 'quote_count': 1018}"
870374049280663552,"{'retweet_count': 22973, 'reply_count': 761, 'like_count': 74693, 'quote_count': 1018}"
870308999962521604,"{'retweet_count': 3574, 'reply_count': 59, 'like_count': 19686, 'quote_count': 109}"
870308999962521604,"{'retweet_count': 3574, 'reply_count': 59, 'like_count': 19686, 'quote_count': 109}"
870063196459192321,"{'retweet_count': 7138, 'reply_count': 153, 'like_count': 32716, 'quote_count': 341}"
870063196459192321,"{'retweet_count': 7138, 'reply_count': 153, 'like_count': 32716, 'quote_count': 341}"
869772420881756160,"{'retweet_count': 8765, 'reply_count': 211, 'like_count': 38381, 'quote_count': 477}"
869772420881756160,"{'retweet_count': 8765, 'reply_count': 211, 'like_count': 38381, 'quote_count': 477}"
869702957897576449,"{'retweet_count': 5434, 'reply_count': 134, 'like_count': 25308, 'quote_count': 286}"
869702957897576449,"{'retweet_count': 5434, 'reply_count': 134, 'like_count': 25308, 'quote_count': 286}"
869596645499047938,"{'retweet_count': 2657, 'reply_count': 59, 'like_count': 14350, 'quote_count': 86}"
869596645499047938,"{'retweet_count': 2657, 'reply_count': 59, 'like_count': 14350, 'quote_count': 86}"
869227993411051520,"{'retweet_count': 3231, 'reply_count': 65, 'like_count': 18309, 'quote_count': 125}"
869227993411051520,"{'retweet_count': 3231, 'reply_count': 65, 'like_count': 18309, 'quote_count': 125}"
868880397819494401,"{'retweet_count': 12370, 'reply_count': 185, 'like_count': 58535, 'quote_count': 414}"
868880397819494401,"{'retweet_count': 12370, 'reply_count': 185, 'like_count': 58535, 'quote_count': 414}"
868639477480148993,"{'retweet_count': 1767, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
868639477480148993,"{'retweet_count': 1767, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
868622495443632128,"{'retweet_count': 4528, 'reply_count': 72, 'like_count': 23886, 'quote_count': 108}"
868622495443632128,"{'retweet_count': 4528, 'reply_count': 72, 'like_count': 23886, 'quote_count': 108}"
868552278524837888,"{'retweet_count': 1767, 'reply_count': 32, 'like_count': 9075, 'quote_count': 33}"
868552278524837888,"{'retweet_count': 1767, 'reply_count': 32, 'like_count': 9075, 'quote_count': 33}"
867900495410671616,"{'retweet_count': 3606, 'reply_count': 86, 'like_count': 21815, 'quote_count': 63}"
867900495410671616,"{'retweet_count': 3606, 'reply_count': 86, 'like_count': 21815, 'quote_count': 63}"
867774946302451713,"{'retweet_count': 6308, 'reply_count': 70, 'like_count': 30545, 'quote_count': 150}"
867774946302451713,"{'retweet_count': 6308, 'reply_count': 70, 'like_count': 30545, 'quote_count': 150}"
867421006826221569,"{'retweet_count': 2130, 'reply_count': 55, 'like_count': 14500, 'quote_count': 54}"
867421006826221569,"{'retweet_count': 2130, 'reply_count': 55, 'like_count': 14500, 'quote_count': 54}"
867072653475098625,"{'retweet_count': 101, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
867072653475098625,"{'retweet_count': 101, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
867051520902168576,"{'retweet_count': 6845, 'reply_count': 134, 'like_count': 29002, 'quote_count': 132}"
867051520902168576,"{'retweet_count': 6845, 'reply_count': 134, 'like_count': 29002, 'quote_count': 132}"
866720684873056260,"{'retweet_count': 4162, 'reply_count': 90, 'like_count': 18025, 'quote_count': 69}"
866720684873056260,"{'retweet_count': 4162, 'reply_count': 90, 'like_count': 18025, 'quote_count': 69}"
866686824827068416,"{'retweet_count': 2992, 'reply_count': 56, 'like_count': 17299, 'quote_count': 89}"
866686824827068416,"{'retweet_count': 2992, 'reply_count': 56, 'like_count': 17299, 'quote_count': 89}"
866450705531457537,"{'retweet_count': 30507, 'reply_count': 486, 'like_count': 109872, 'quote_count': 1521}"
866450705531457537,"{'retweet_count': 30507, 'reply_count': 486, 'like_count': 109872, 'quote_count': 1521}"
866334964761202691,"{'retweet_count': 12323, 'reply_count': 143, 'like_count': 47051, 'quote_count': 289}"
866334964761202691,"{'retweet_count': 12323, 'reply_count': 143, 'like_count': 47051, 'quote_count': 289}"
866094527597207552,"{'retweet_count': 7227, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
866094527597207552,"{'retweet_count': 7227, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
865718153858494464,"{'retweet_count': 4897, 'reply_count': 120, 'like_count': 23159, 'quote_count': 197}"
865718153858494464,"{'retweet_count': 4897, 'reply_count': 120, 'like_count': 23159, 'quote_count': 197}"
865359393868664832,"{'retweet_count': 4336, 'reply_count': 88, 'like_count': 23858, 'quote_count': 197}"
865359393868664832,"{'retweet_count': 4336, 'reply_count': 88, 'like_count': 23858, 'quote_count': 197}"
